Name	Field	Morpho	Sp (mJy)	err_Sp	Sint (Jy km/s)	err	RMS (mJy/beam)	V_sys (km/s)	w50	DL (Mpc)	log M_HI	D_HI (kpc)
MGTH_J022028.5-053705	XMMLSS13_1330	SP	7.272923535018221	0.5484849994038428	0.2433772248313453	0.012168861241567266	0.5484849994038428	13243.754437095058	213.440575	200.076887043647	9.322482308076703	26.730064086633103
MGTH_J022028.9-042514	XMMLSS13_1310	SP	2.1321129396704936	0.11645430575153536	0.2276984795449785	0.011384923977248926	0.11645430575153536	20206.27986576892	102.010154	314.07393300768064	9.665103138856868	39.35500754557774
MGTH_J022029.4-041207	XMMLSS13_1380	SP	6.194000283113242	0.18448421694551087	0.5233008839274633	0.05233008839274633	0.18448421694551087	6065.713914046989	133.813333	88.5865305318776	8.968150710061678	18.57804455091698
MGTH_J022033.0-052605	XMMLSS13_1330	SP	7.378774357969978	0.3187094816324476	1.2663090984356562	0.06331545492178281	0.3187094816324476	12175.73609722636	245.013165	182.51790286472766	9.9621629634943	55.975760149511046
MGTH_J022049.8-052913	XMMLSS13_1330	SP	9.669511117136434	0.4022223741209489	0.9507618323771247	0.047538091618856235	0.4022223741209489	9890.666766339402	225.41183900000001	145.9841615554699	9.650455845119314	44.56562483975033
MGTH_J022049.9-044928	XMMLSS13_1330	IR	2.1547619890331022	0.07758332816459879	0.2568193085796544	0.01284096542898272	0.07758332816459879	16213.360209903718		247.92525439860023	9.5234909818753	36.81289736425313
MGTH_J022051.5-045703	XMMLSS13_1330	SP	17.697149106265897	0.09016650823567696	3.47858748137742	0.173929374068871	0.09016650823567696	12898.865163798622	254.17706299999998	194.1850427443825	10.45271479863126	109.39563662720941
MGTH_J022054.9-042201	XMMLSS13_1310	SP	2.9174836750057627	0.12089903270168165	0.2704353751107832	0.013521768755539159	0.12089903270168165	21300.17455203087	146.211299	333.29766272612727	9.788120693558172	50.11872336272722
MGTH_J022056.3-042806	XMMLSS13_1310	SP	1.1740790393556872	0.11568562640905528	0.1510240929195121	0.007551204645975604	0.11568562640905528	20112.333580700964	68.070254	313.2781194197467	9.484722282271948	27.039583641088434
MGTH_J022058.7-051320	XMMLSS14_1330	IR	1.7173229148831928	0.3100467306096483	0.2084080528418276	0.01042040264209138	0.3100467306096483	18869.762574821747	113.813296	291.94336861274127	9.567011684495725	26.24218543384442
MGTH_J022105.4-042951	XMMLSS13_1330	SP	3.6111933065147626	0.09318723333365134	0.5440300173725898	0.02720150086862949	0.09318723333365134	12049.626634156108	227.802632	181.0664433781441	9.588577230563658	37.67037989839087
MGTH_J022108.8-043907	XMMLSS13_1310	SP	3.484097686102137	0.0881566336501057	0.2459179116810545	0.012295895584052726	0.0881566336501057	23332.40593166609	329.599695	368.3701996234341	9.827830903597192	48.5288500162121
MGTH_J022108.8-052326	XMMLSS13_1310	SP	3.9170843798183568	0.2519645379863094	0.2631733175555679	0.013158665877778395	0.2519645379863094	23640.584660787696	100.924088	374.1644270559574	9.869869586937124	64.26877173170197
MGTH_J022111.7-040445	XMMLSS13_1380	SP	71.8414504702194	0.3305859314028007	3.9811703061242634	0.1990585153062132	0.3305859314028007	6054.461033471991	47.599878000000004	88.5865305318776	9.849409997927506	48.75284901033865
MGTH_J022113.4-043551	XMMLSS13_1310	ET	1.911674074257228	0.0981311369345278	0.15878183078374206	0.007939091539187105	0.0981311369345278	23640.5894324556	181.70526999999998	373.3285577074868	9.648625603194127	43.85306977749856
MGTH_J022115.4-041355	XMMLSS13_1330	SP	2.9544953907245923	0.18662983509698425	0.16715467498869488	0.016715467498869492	0.18662983509698425	9947.59972985916	91.946797	148.1164364174728	8.907699516320084	15.776112696993485
MGTH_J022117.8-045040	XMMLSS13_1330	IR	2.5887469800221368	0.1121217784548951	0.15217473226654746	0.007608736613327374	0.1121217784548951	12806.927380002446	70.664004	192.72124123362133	9.087348816987966	20.558905959841425
MGTH_J022123.0-040259	XMMLSS13_1330	SP	10.707384660327	0.3919209313349785	0.9328662773831924	0.046643313869159625	0.3919209313349785	15286.121211155709	138.86033899999998	232.78992741126788	10.031663436801304	62.95061828571978
MGTH_J022128.8-042448	XMMLSS12_1330_1380	SP	102.90729442565365	2.4796091435551335	9.585570233318585	0.4792785116659293	2.4796091435551335	2331.8127180621004	178.21588400000002	33.638852451494486	9.400720507075077	24.434305526939713
MGTH_J022128.9-044232	XMMLSS13_1330	SP	1.4892580609497443	0.10683261942186027	0.14301952882671115	0.007150976441335558	0.10683261942186027	12519.86380730303	101.671968	188.3391236498135	9.041223395161943	19.453600816226626
MGTH_J022135.9-042519	XMMLSS13_1310	SP	6.698456132510332	0.2465668494333173	1.0305618679754287	0.051528093398771437	0.2465668494333173	20018.440082202695	180.974953	311.68776608468534	10.314602833150364	69.98419960022734
MGTH_J022136.5-053117	XMMLSS13_1380	SP	160.0652141313954	0.6719309384238162	87.49362716924334	4.374681358462166	0.6719309384238162	2309.279625279379	270.783753	32.99126191582512	10.339098572105186	69.5024317588797
MGTH_J022138.1-052631	XMMLSS13_1380	IR	23.82681713231953	0.30235313394621816	1.284043267841116	0.1284043267841116	0.30235313394621816	2087.0983868490134	46.0432	29.758389734908338	8.42199119624214	8.491804750363139
