#Created by Natasha on Wed Nov 11 19:09:39 2020
#Early science data from COSMOS and XMMLSS, 1310-1420MHz
#Only objects with an optical counterpart are included, duplicates have been removed
#Objects with Mstellar -99 are outside the deep imaging footprint
name ra dec freq z Log(MHI) Log(Mstellar) W50 u(W50) Log(SFR) Log(Age) EBV umag gmag rmag Semimaj Semimin PA Inclination
MGTH_J100137.1+020624 150.404485 2.106620 1.359790 0.044577 8.491000 8.929380 64.533841 44.000000 -0.673457 9.812913 0.100000 19.620231 18.691700 18.272216 8.493000 8.422000 90.000000 7.413773
MGTH_J100048.1+011414 150.200610 1.237149 1.357700 0.046185 9.985000 -99.000000 73.442786 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J100035.1+011433 150.146449 1.242436 1.357700 0.046185 9.792000 -99.000000 162.310942 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J095728.7+030509 149.369742 3.085745 1.341607 0.058735 9.853000 -99.000000 140.889785 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J100212.7+015100 150.552889 1.850084 1.336591 0.062708 9.105000 8.854380 123.794054 44.000000 -0.331032 9.255273 0.100000 19.877623 19.002790 18.682130 9.214000 3.402000 60.000000 68.332433
MGTH_J100117.1+020337 150.321183 2.060275 1.338054 0.061546 9.317000 9.459260 181.511418 44.000000 -0.465815 9.845098 0.000000 19.353374 18.412583 18.008831 11.324000 7.448000 320.000000 48.873925
MGTH_J100003.9+015253 150.016264 1.881498 1.333456 0.065206 9.524000 9.095800 189.860232 44.000000 -0.592581 9.698970 0.000000 19.875076 18.999224 18.659272 9.565000 5.132000 20.000000 57.551625
MGTH_J095727.3+015221 149.363779 1.872430 1.375257 0.032829 8.807000 8.311560 97.453322 44.000000 0.177483 8.006543 0.300000 0.000000 17.897732 17.595738 12.251000 10.417000 90.000000 31.755911
MGTH_J100212.1+030312 150.550541 3.053238 1.379228 0.029856 8.900000 -99.000000 186.352585 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J100110.7+024956 150.294581 2.832219 1.343279 0.057417 8.505000 9.203150 44.000000 44.000000 -1.214960 9.812913 0.200000 0.000000 19.969953 19.242260 6.618000 2.648000 25.000000 66.414264
MGTH_J100243.1+015944 150.679479 1.995548 1.340144 0.059890 9.223000 8.267280 103.655006 44.000000 -1.317080 9.301030 0.300000 0.000000 21.905879 21.224922 4.763000 4.672000 90.000000 11.217909
MGTH_J100236.5+014618 150.652188 1.771678 1.358900 0.045261 8.744000 7.942250 67.143886 44.000000 -1.321080 9.380211 0.100000 0.000000 20.452731 20.160727 9.091000 5.824000 30.000000 50.160919
MGTH_J100223.7+024027 150.598862 2.674246 1.329484 0.068389 9.461000 9.104870 90.192157 44.000000 -0.208378 9.414973 0.000000 19.140690 18.357687 18.162563 10.271000 9.797000 90.000000 17.474508
MGTH_J100206.3+022053 150.526091 2.348021 1.337427 0.062044 8.716000 7.695930 44.000000 44.000000 -1.405700 9.301030 0.000000 21.777997 21.058085 20.921212 5.114000 3.113000 0.000000 52.502908
MGTH_J100148.9+022630 150.453582 2.441562 1.337427 0.062044 9.263000 8.908990 82.429746 44.000000 -0.300458 9.414973 0.150000 19.899590 18.960221 18.590508 8.287000 7.755000 0.000000 20.641725
MGTH_J100143.7+021953 150.432030 2.331279 1.337427 0.062044 9.122000 8.717060 90.895991 44.000000 -0.492385 9.414973 0.150000 20.350858 19.451861 19.070464 7.011000 5.070000 30.000000 43.684889
MGTH_J095755.9+022608 149.482923 2.435629 1.325931 0.071252 9.508000 10.086700 71.567956 44.000000 -0.007596 9.698970 0.300000 0.000000 18.686161 17.883674 24.471000 5.934000 60.000000 75.966385
MGTH_J100006.3+023808 150.026200 2.635676 1.336591 0.062708 9.208000 8.874270 213.997723 44.000000 -0.372167 9.414973 0.150000 20.061540 19.119206 18.744100 11.937000 5.283000 350.000000 63.731803
MGTH_J100217.9+015124 150.574384 1.856795 1.337009 0.062376 9.701000 10.189000 254.170715 44.000000 0.692106 9.698970 0.100000 17.262280 16.366006 15.980113 16.889000 11.337000 340.000000 47.835202
MGTH_J100016.3+022528 150.067715 2.424341 1.311092 0.083376 9.315000 8.243710 -99.000000 -99.000000 -0.047007 8.106544 0.200000 20.678835 19.801094 19.666268 4.688000 4.597000 0.000000 -99.000000
MGTH_J100031.4+022553 150.130722 2.431341 1.313809 0.081136 8.962000 8.975570 182.412395 44.000000 -0.611038 9.544068 0.000000 20.501705 19.575440 19.254616 8.196000 3.017000 90.000000 68.401119
MGTH_J100129.9+021705 150.374764 2.284714 1.320497 0.075660 9.617000 10.363300 252.017544 44.000000 0.551705 9.778151 0.150000 18.239391 17.145593 16.588664 12.410000 10.110000 20.000000 35.445690
MGTH_J100103.7+023053 150.265417 2.514789 1.325095 0.071927 9.837000 9.934120 233.450917 44.000000 0.483088 9.653213 0.100000 18.106057 17.213700 16.910431 15.138000 9.487000 90.000000 51.192853
MGTH_J100222.8+024519 150.595055 2.755408 1.324677 0.072266 9.785000 9.417350 247.327515 44.000000 1.207150 8.056547 0.300000 0.000000 17.011589 16.720751 13.851000 6.123000 20.000000 63.764484
MGTH_J100121.2+024714 150.338308 2.787292 1.323841 0.072943 9.381000 9.124520 97.796432 44.000000 -0.362957 9.255273 0.000000 0.000000 18.528853 18.308693 10.127000 5.975000 90.000000 53.842501
MGTH_J095945.1+023510 149.937770 2.586154 1.315899 0.079419 9.166000 9.160910 63.984876 44.000000 -0.233284 9.414973 0.000000 19.497562 18.675854 18.455462 6.105000 6.079000 0.000000 5.289757
MGTH_J095907.8+024213 149.782441 2.703669 1.316317 0.079076 9.804000 10.798900 309.889419 44.000000 0.617159 9.845098 0.050000 17.365883 16.163060 15.668724 23.587000 17.754000 110.000000 41.174955
MGTH_J095901.7+023700 149.757213 2.616789 1.316944 0.078562 9.212000 9.418250 54.869233 44.000000 -0.184582 9.812913 0.150000 19.996758 18.956551 18.518815 7.358000 6.369000 90.000000 30.050031
MGTH_J100002.4+023522 150.009811 2.589387 1.316944 0.078562 9.186000 9.538080 -99.000000 -99.000000 0.259845 9.477121 0.300000 20.112017 19.032120 18.492488 11.990000 3.304000 82.000000 74.004434
MGTH_J095920.5+024626 149.835239 2.773901 1.318407 0.077365 9.497000 9.453360 156.918271 44.000000 0.030395 8.906548 0.300000 0.000000 18.819944 18.333535 10.863000 9.764000 0.000000 25.995184
MGTH_J100107.1+015416 150.279441 1.904478 1.318198 0.077536 9.767000 10.250200 178.945732 44.000000 0.438613 9.778151 0.100000 18.262781 17.222095 16.753215 12.473000 10.566000 90.000000 32.101312
MGTH_J100218.5+014542 150.576952 1.761712 1.313809 0.081136 9.548000 9.491640 111.151525 44.000000 0.170345 9.477121 0.000000 18.682694 17.852321 17.629235 10.930000 6.312000 320.000000 54.725584
MGTH_J100103.7+013055 150.265220 1.515149 1.313182 0.081652 9.717000 -99.000000 96.637396 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J095959.9+015913 149.999505 1.986945 1.314854 0.080276 9.644000 10.079900 138.665789 44.000000 0.267122 10.000000 0.000000 18.307072 17.401723 17.083554 8.727000 7.571000 90.000000 29.826267
MGTH_J095957.4+015914 149.989062 1.987268 1.315899 0.079419 8.829000 9.423370 138.310911 44.000000 -0.198332 9.653213 0.100000 20.048100 19.084359 18.546428 8.692000 6.088000 340.000000 45.539757
MGTH_J095914.9+014911 149.812229 1.819601 1.316317 0.079076 9.508000 8.524610 91.160801 44.000000 -0.073517 8.756548 0.200000 20.459106 19.670156 19.454193 6.555000 6.385000 0.000000 13.077323
MGTH_J100014.5+020024 150.060453 2.006647 1.316526 0.078904 8.900000 10.204400 48.192703 44.000000 0.303053 9.954243 0.100000 18.667378 17.613446 17.132315 8.607000 5.038000 70.000000 54.173162
MGTH_J100031.3+020752 150.130500 2.131027 1.317362 0.078220 8.777000 9.166520 181.496091 44.000000 -0.857956 9.778151 0.000000 20.814326 19.737974 19.319212 7.358000 3.623000 340.000000 60.502260
MGTH_J095954.5+020017 149.977184 2.004803 1.317780 0.077878 9.577000 10.360900 137.153648 44.000000 0.266539 9.698970 0.050000 18.173269 17.028164 16.504978 12.867000 11.391000 0.000000 27.713023
MGTH_J100011.7+020441 150.048774 2.077952 1.318198 0.077536 9.150000 8.027620 63.987169 44.000000 -0.566535 8.756548 0.200000 21.662405 20.837242 20.623248 6.064000 4.644000 0.000000 40.019010
MGTH_J100115.5+022858 150.314539 2.482840 1.321542 0.074809 8.930000 10.205100 93.278844 44.000000 0.471326 9.875061 0.200000 18.748650 17.684129 17.130899 8.205000 4.582000 80.000000 56.052020
MGTH_J100028.4+024112 150.118449 2.686586 1.322169 0.074300 9.501000 8.942790 71.813001 44.000000 -0.830167 9.653213 0.200000 22.034671 20.861048 20.131024 4.010000 4.010000 0.000000 0.000000
MGTH_J021911.4-052640 34.797416 -5.444369 1.405639 0.010505 7.844000 7.125260 44.000000 44.000000 -2.208400 9.544068 0.000000 19.642968 19.041192 18.771048 7.436000 4.742000 0.000000 50.378844
MGTH_J021836.3-043236 34.651117 -4.543458 1.401877 0.013217 9.231000 8.500900 93.122056 44.000000 -4.221660 9.056550 0.050000 17.998877 16.443513 16.027023 27.829000 27.798000 0.000000 2.704643
MGTH_J021719.4-052851 34.330642 -5.480772 1.395607 0.017769 10.275000 9.751380 239.520369 44.000000 -2.804490 9.477121 0.000000 16.257935 14.695194 14.267829 55.036000 26.930000 320.000000 60.704360
MGTH_J021714.5-052922 34.310259 -5.489346 1.396025 0.017464 9.123000 7.975080 -99.000000 -99.000000 -1.925730 9.056550 0.000000 18.806611 17.965858 17.667691 14.229000 12.324000 90.000000 29.989331
MGTH_J021808.2-045217 34.534123 -4.871398 1.384740 0.025756 8.049000 6.361460 64.730427 44.000000 -2.205860 8.256547 0.100000 22.528270 21.882777 21.680138 4.938000 4.013000 0.000000 35.641668
MGTH_J021702.2-050351 34.259169 -5.064251 1.384322 0.026066 9.347000 8.629740 129.705473 44.000000 -0.510871 9.342423 0.100000 18.093806 17.324844 17.038178 14.356000 5.609000 300.000000 67.001457
MGTH_J021659.0-050352 34.245846 -5.064522 1.384740 0.025756 8.838000 7.957870 96.170334 44.000000 -1.375780 9.544068 0.050000 19.867451 19.119898 18.825504 4.667000 3.984000 340.000000 31.388725
MGTH_J021529.1-051859 33.871086 -5.316251 1.384113 0.026221 9.322000 8.422960 157.395241 44.000000 -0.967375 9.602060 0.050000 18.852600 18.080611 17.819008 12.349000 5.892000 70.000000 61.502289
MGTH_J021759.3-041634 34.497196 -4.276041 1.374500 0.033398 9.652000 8.820940 98.887384 44.000000 -2.018880 9.255273 0.000000 18.930647 17.837737 17.416334 17.102000 16.000000 90.000000 20.680692
MGTH_J021814.0-044944 34.558499 -4.828902 1.376590 0.031829 9.273000 8.903800 163.135284 44.000000 -0.682815 9.544068 0.050000 18.688964 17.861328 17.451159 8.256000 4.290000 120.000000 58.693094
MGTH_J021742.0-041520 34.424863 -4.255457 1.374291 0.033555 9.599000 9.951690 199.671717 44.000000 -0.523186 9.602060 0.000000 17.244706 16.035816 15.478066 19.345000 18.256000 0.000000 19.316387
MGTH_J021729.9-041656 34.374608 -4.282130 1.373873 0.033870 8.867000 8.396060 87.547130 44.000000 -1.271800 9.875061 0.050000 20.077951 19.271452 18.882508 6.194000 5.244000 90.000000 32.153456
MGTH_J021740.2-051805 34.417340 -5.301361 1.376381 0.031986 8.137000 7.818030 63.116733 44.000000 -1.748980 9.778151 0.050000 21.194750 20.394068 20.038603 5.641000 4.118000 10.000000 43.112566
MGTH_J021743.8-051752 34.432584 -5.297716 1.376381 0.031986 9.148000 9.662960 130.983375 44.000000 0.553198 9.301030 0.200000 16.690878 15.873009 15.436297 18.346000 8.825000 350.000000 61.247221
MGTH_J021818.0-043234 34.574803 -4.542664 1.361961 0.042912 9.438000 7.409990 86.224614 44.000000 -1.276160 8.556547 0.000000 20.850015 20.239166 20.173934 9.056000 4.759000 10.000000 58.297555
MGTH_J021810.7-043224 34.544602 -4.539994 1.361961 0.042912 8.802000 7.646500 51.685338 44.000000 -1.562940 9.414973 0.000000 21.363651 20.585287 20.314508 5.314000 5.071000 0.000000 17.393982
MGTH_J021744.9-041158 34.437157 -4.199451 1.362379 0.042592 9.961000 9.831880 199.452428 44.000000 0.124063 9.903090 0.000000 17.216022 16.364761 15.987622 18.594000 7.860000 330.000000 64.993757
MGTH_J021750.4-044940 34.459872 -4.827862 1.362588 0.042432 9.198000 8.728680 141.673635 44.000000 -0.480765 9.414973 0.100000 19.186561 18.339895 17.992750 9.500000 5.844000 330.000000 52.036606
MGTH_J021815.4-041558 34.564123 -4.266186 1.363006 0.042113 10.166000 10.170500 261.456948 44.000000 0.269116 9.954243 0.000000 16.745567 15.830760 15.391271 23.046000 16.840000 70.000000 43.053842
MGTH_J021816.4-041706 34.568246 -4.285076 1.363006 0.042113 8.713000 8.638680 44.000000 44.000000 -0.537696 9.380211 0.150000 19.626816 18.738104 18.323277 8.628000 4.036000 55.000000 62.109756
MGTH_J021827.2-041219 34.613517 -4.205383 1.363633 0.041633 9.864000 10.278400 196.762953 44.000000 0.827340 9.653213 0.100000 15.989010 15.185459 14.738419 16.609000 14.076000 40.000000 32.060041
MGTH_J021902.3-042646 34.759568 -4.446110 1.364051 0.041314 9.718000 9.274050 177.586421 44.000000 -0.116290 9.602060 0.100000 18.145661 17.253228 16.871062 18.121000 8.949000 335.000000 60.406256
MGTH_J021824.8-042850 34.603315 -4.480676 1.368857 0.037658 8.303000 7.966390 44.000000 44.000000 -1.633800 9.477121 0.050000 21.079160 20.203888 19.841034 5.105000 5.046000 0.000000 8.719366
MGTH_J021748.5-044410 34.451997 -4.736234 1.369066 0.037500 8.511000 8.665430 52.784393 44.000000 -1.126300 9.875061 0.000000 19.896429 19.108283 18.706823 5.474000 3.566000 120.000000 49.349500
MGTH_J021647.2-044544 34.196702 -4.762277 1.362170 0.042752 8.865000 9.013180 98.163036 44.000000 -0.515320 9.740363 0.150000 19.482872 18.498303 18.020901 7.337000 6.272000 0.000000 31.257351
MGTH_J021625.5-044228 34.106412 -4.707871 1.362170 0.042752 8.670000 6.860680 86.773985 44.000000 -0.158684 7.020001 0.300000 21.495952 20.705136 20.454410 4.721000 4.549000 90.000000 15.513590
MGTH_J021642.0-044221 34.175130 -4.705771 1.362170 0.042752 9.566000 7.820610 64.537382 44.000000 -1.557680 8.556547 0.000000 20.337634 19.497513 19.202361 11.867000 8.477000 0.000000 44.411366
MGTH_J021712.1-044225 34.300484 -4.707072 1.362588 0.042432 8.682000 7.655700 65.740748 44.000000 -1.470510 9.056550 0.100000 21.555310 20.661356 20.388429 4.739000 4.682000 90.000000 8.895451
MGTH_J021532.8-044607 33.886873 -4.768520 1.363006 0.042113 10.058000 10.148000 290.636214 44.000000 0.055632 10.079181 0.000000 17.254372 16.249926 15.752898 25.853000 14.936000 60.000000 54.709105
MGTH_J021515.8-043808 33.815771 -4.635539 1.362588 0.042432 10.275000 8.618050 92.459139 44.000000 1.469490 7.180000 0.300000 17.031060 16.459997 16.274591 13.033000 8.266000 90.000000 50.636644
MGTH_J021645.3-044704 34.188663 -4.784566 1.363214 0.041954 8.603000 7.938460 51.816763 44.000000 -1.502480 9.653213 0.000000 21.022622 20.253982 19.982411 4.926000 4.484000 90.000000 24.457029
MGTH_J021711.8-042441 34.299247 -4.411298 1.368439 0.037975 9.141000 8.072700 135.899515 44.000000 -0.614258 8.856548 0.200000 20.014558 19.292190 18.955517 6.842000 4.924000 40.000000 43.972543
MGTH_J021632.8-041357 34.136690 -4.232503 1.361125 0.043553 9.326000 8.211970 95.068927 44.000000 0.730923 7.544068 0.300000 18.703732 17.986810 17.706062 9.059000 7.243000 0.000000 36.914148
MGTH_J021744.6-050322 34.436039 -5.056013 1.360707 0.043873 9.265000 9.196490 87.093679 44.000000 -0.692086 10.000000 0.000000 19.267932 18.362180 17.931218 8.964000 7.317000 110.000000 35.287359
MGTH_J021824.1-052754 34.600597 -5.464980 1.362588 0.042432 9.844000 9.245880 222.073680 44.000000 -0.212519 9.602060 0.000000 18.079501 17.288890 16.964157 18.222000 8.389000 330.000000 62.588526
MGTH_J021831.4-054452 34.630640 -5.747890 1.362379 0.042592 10.066000 -99.000000 274.016499 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J021729.0-050827 34.370664 -5.140736 1.361125 0.043553 9.801000 9.618260 101.840132 44.000000 0.274898 9.544068 0.100000 17.517676 16.721563 16.298582 11.968000 10.714000 90.000000 26.463222
MGTH_J021544.5-045540 33.935225 -4.927660 1.361125 0.043553 10.004000 9.139700 225.531848 44.000000 0.452739 8.856548 0.200000 17.763292 16.951781 16.612460 21.932000 8.624000 10.000000 66.845281
MGTH_J021542.4-045436 33.926655 -4.910034 1.362170 0.042752 8.965000 10.489100 -99.000000 -99.000000 0.162143 10.041393 0.050000 17.122471 15.946352 15.335876 15.921000 10.605000 70.000000 48.233125
MGTH_J021541.6-051317 33.923184 -5.221326 1.361961 0.042912 9.694000 8.651600 90.115346 44.000000 0.256730 8.506547 0.200000 18.410849 17.646842 17.373264 9.708000 9.632000 0.000000 7.174031
MGTH_J021649.7-044852 34.207000 -4.814372 1.359662 0.044676 8.612000 8.274450 90.745787 44.000000 -1.393420 9.875061 0.050000 21.150669 20.215700 19.833774 4.993000 4.838000 90.000000 14.313724
MGTH_J021742.5-050425 34.427052 -5.073718 1.360080 0.044355 9.463000 9.387560 131.800526 44.000000 2.108580 7.319999 0.600000 17.212906 16.241955 15.726374 14.549000 13.911000 0.000000 17.030655
MGTH_J021822.2-050614 34.592315 -5.103939 1.360080 0.044355 9.291000 10.831700 179.094364 44.000000 0.055552 10.041393 0.050000 17.094854 15.620153 14.883547 17.548000 15.000000 0.000000 31.262545
MGTH_J021847.0-045555 34.695855 -4.931915 1.360080 0.044355 9.024000 7.552090 60.807450 44.000000 -1.062050 8.756548 0.150000 21.340747 20.611053 20.324129 5.634000 3.640000 60.000000 49.753498
MGTH_J021908.8-042603 34.786738 -4.434197 1.350048 0.052115 9.331000 8.407830 113.294293 44.000000 -0.465576 9.056550 0.200000 20.341447 19.510022 19.123284 5.158000 5.094000 90.000000 9.035185
MGTH_J021711.2-042120 34.296873 -4.355446 1.344615 0.056366 9.782000 11.086400 384.586336 44.000000 -0.100696 10.000000 0.050000 17.383172 15.679937 14.902515 21.439000 16.015000 110.000000 41.668558
MGTH_J021702.2-044454 34.258989 -4.748429 1.344824 0.056202 9.640000 10.170500 254.327277 44.000000 0.509532 9.812913 0.150000 17.779092 16.747365 16.201152 10.690000 7.203000 330.000000 47.638402
